timestamp,close
2020-01-31,26.08
2020-02-29,24.48
2020-03-31,20.65
2020-04-30,22.57
2020-05-31,23.0
2020-06-30,23.55
2020-07-31,24.52
2020-08-31,24.88
2020-09-30,24.38
2020-10-31,23.53
2020-11-30,25.83
2020-12-31,26.07
2021-01-31,26.02
2021-02-28,26.97
2021-03-31,28.2
2021-04-30,28.85
2021-05-31,29.74
2021-06-30,30.53
2021-07-31,30.79
2021-08-31,30.98
2021-09-30,30.38
2021-10-31,32.04
2021-11-30,31.53
2021-12-31,32.52
2022-01-31,32.44
2022-02-28,32.21
2022-03-31,33.48
2022-04-30,31.8
2022-05-31,31.61
2022-06-30,29.01
2022-07-31,30.13
2022-08-31,29.41
2022-09-30,28.28
2022-10-31,29.86
2022-11-30,31.26
2022-12-31,29.59
2023-01-31,31.78
2023-02-28,30.68
2023-03-31,30.52
2023-04-30,31.61
2023-05-31,29.68
2023-06-30,30.73
2023-07-31,31.39
2023-08-31,30.69
2023-09-30,29.7
2023-10-31,28.76
2023-11-30,30.77
2023-12-31,32.02
2024-01-31,32.18
2024-02-29,32.54
2024-03-31,33.75
2024-04-30,33.02
2024-05-31,33.63
2024-06-30,33.04
2024-07-31,35.03
2024-08-31,35.31
2024-09-30,36.39
2024-10-31,36.67
2024-11-30,38.78
2024-12-31,37.26
